CMDLINE /cvmfs/soft.computecanada.ca/easybuild/software/2017/Core/python/3.6.3/bin/python testAI.py bfs
MEM 0.199219 1553977448.4024
MEM 7.593750 1553977448.5032
MEM 9.550781 1553977448.6041
MEM 11.644531 1553977448.7049
MEM 13.125000 1553977448.8057
MEM 13.640625 1553977448.9066
MEM 14.941406 1553977449.0074
MEM 15.531250 1553977449.1082
MEM 17.859375 1553977449.2091
MEM 21.332031 1553977449.3099
MEM 22.589844 1553977449.4107
MEM 26.199219 1553977449.5115
MEM 28.781250 1553977449.6123
MEM 31.671875 1553977449.7132
MEM 35.156250 1553977449.8140
MEM 37.734375 1553977449.9149
MEM 41.925781 1553977450.0157
MEM 51.964844 1553977450.1165
MEM 54.453125 1553977450.2173
MEM 54.453125 1553977450.3181
MEM 54.695312 1553977450.4190
MEM 54.695312 1553977450.5198
MEM 54.695312 1553977450.6200
MEM 54.695312 1553977450.7209
MEM 54.695312 1553977450.8217
MEM 54.695312 1553977450.9225
MEM 54.796875 1553977451.0233
MEM 54.796875 1553977451.1241
MEM 54.796875 1553977451.2250
MEM 54.796875 1553977451.3258
MEM 54.796875 1553977451.4266
MEM 54.796875 1553977451.5275
MEM 54.796875 1553977451.6283
MEM 54.796875 1553977451.7291
MEM 54.796875 1553977451.8299
MEM 54.796875 1553977451.9307
MEM 54.796875 1553977452.0315
MEM 54.796875 1553977452.1324
MEM 54.796875 1553977452.2332
MEM 54.835938 1553977452.3340
MEM 54.835938 1553977452.4349
MEM 54.835938 1553977452.5357
MEM 54.843750 1553977452.6365
MEM 54.843750 1553977452.7373
MEM 54.843750 1553977452.8381
MEM 54.843750 1553977452.9390
MEM 54.843750 1553977453.0398
MEM 45.761719 1553977453.1411
MEM 45.105469 1553977453.2420
MEM 45.226562 1553977453.3428
MEM 45.226562 1553977453.4436
MEM 45.226562 1553977453.5461
MEM 45.234375 1553977453.6469
MEM 45.234375 1553977453.7478
MEM 45.234375 1553977453.8486
MEM 45.234375 1553977453.9494
MEM 45.234375 1553977454.0502
MEM 45.234375 1553977454.1511
MEM 45.234375 1553977454.2519
MEM 45.234375 1553977454.3527
MEM 45.234375 1553977454.4535
MEM 45.234375 1553977454.5544
MEM 45.234375 1553977454.6552
MEM 45.234375 1553977454.7560
MEM 45.234375 1553977454.8569
MEM 45.234375 1553977454.9577
MEM 45.234375 1553977455.0585
MEM 45.234375 1553977455.1593
MEM 45.234375 1553977455.2602
MEM 45.234375 1553977455.3610
MEM 45.234375 1553977455.4618
MEM 45.234375 1553977455.5627
MEM 45.234375 1553977455.6635
MEM 45.234375 1553977455.7643
MEM 45.234375 1553977455.8651
MEM 45.234375 1553977455.9660
MEM 45.234375 1553977456.0668
MEM 45.234375 1553977456.1677
MEM 45.312500 1553977456.2685
MEM 45.312500 1553977456.3693
